"rank","discipline","yrs.since.phd","yrs.service","sex","salary","institution"
"AssocProf","B",12,9,"Female",78432,"Stanford"
"Prof","B",46,45,"Male",74926,"Stanford"
"Prof","B",16,16,"Male",141917,"Stanford"
"Prof","B",16,15,"Male",142394,"Stanford"
"Prof","B",24,23,"Male",98991,"Penn State"
"AssocProf","B",9,9,"Male",90205,"Penn State"
"AssocProf","B",13,11,"Male",120994,"Penn State"
"Prof","B",24,15,"Female",155664,"Penn State"
"Prof","B",30,31,"Male",156784,"Penn State"
"AsstProf","B",8,4,"Male",79063,"Penn State"
"Prof","B",23,15,"Male",119277,"Penn State"
"Prof","B",37,37,"Male",146213,"Penn State"
"AssocProf","B",10,10,"Male",93810,"Penn State"
"Prof","B",23,23,"Male",129341,"Penn State"
"Prof","B",49,60,"Male",186816,"Penn State"
"Prof","B",20,9,"Male",111081,"Penn State"
"Prof","B",18,10,"Female",100013,"Penn State"
"Prof","B",33,19,"Male",139661,"Penn State"
"AssocProf","B",19,6,"Female",99105,"Penn State"
"Prof","B",36,38,"Male",146008,"Penn State"
"Prof","B",35,23,"Male",92616,"Penn State"
"Prof","B",13,12,"Male",139563,"Penn State"
"Prof","B",32,25,"Male",123027,"Penn State"
"Prof","B",37,15,"Male",131880,"Penn State"
"Prof","B",13,11,"Male",100794,"Penn State"
"Prof","B",17,17,"Female",118875,"Penn State"
"Prof","B",38,38,"Male",109159,"Penn State"
"Prof","B",31,31,"Male",156713,"Penn State"
"Prof","B",32,35,"Male",144939,"Penn State"
"Prof","B",15,10,"Male",102549,"Penn State"
"Prof","B",41,27,"Male",136586,"Penn State"
"Prof","B",39,33,"Male",122813,"Penn State"
"AsstProf","B",4,3,"Male",74702,"Penn State"
"Prof","B",27,28,"Male",138872,"Penn State"
"Prof","B",56,49,"Male",181523,"Penn State"
"Prof","B",38,38,"Male",88082,"Penn State"
"Prof","B",26,27,"Male",137063,"Penn State"
"Prof","B",22,20,"Male",132563,"Penn State"
"AsstProf","B",8,1,"Male",78163,"Penn State"
"Prof","B",25,21,"Male",139591,"Penn State"
"Prof","A",49,40,"Male",83272,"Penn State"
"Prof","A",39,35,"Male",101872,"Penn State"
"Prof","A",28,14,"Female",104517,"Penn State"
"AsstProf","A",11,4,"Male",73348,"Penn State"
"Prof","A",14,11,"Male",120922,"Northwestern"
"Prof","A",23,15,"Female",108622,"Northwestern"
"Prof","A",30,30,"Male",137747,"Northwestern"
"AssocProf","A",20,17,"Male",80261,"Northwestern"
"Prof","A",43,43,"Male",204476,"Northwestern"
"Prof","A",43,40,"Male",100012,"Northwestern"
"Prof","A",15,10,"Male",114411,"Northwestern"
"AssocProf","A",10,1,"Male",107389,"Northwestern"
"Prof","A",35,30,"Male",130926,"Northwestern"
"Prof","A",33,31,"Male",133666,"Northwestern"
"AssocProf","A",13,8,"Male",77158,"Northwestern"
"Prof","A",23,20,"Male",109491,"Northwestern"
"Prof","A",12,7,"Male",108683,"Northwestern"
"Prof","A",30,26,"Male",135636,"Northwestern"
"Prof","A",27,19,"Male",102251,"Northwestern"
"Prof","A",28,26,"Male",102625,"Northwestern"
"AsstProf","A",4,1,"Male",73832,"Northwestern"
"AsstProf","A",6,3,"Male",76057,"Northwestern"
"Prof","A",38,38,"Male",149656,"Northwestern"
"AssocProf","A",11,8,"Male",103097,"Northwestern"
"AsstProf","A",8,3,"Male",74972,"Northwestern"
"Prof","A",27,23,"Male",171481,"Northwestern"
"AssocProf","A",8,5,"Male",85871,"Northwestern"
"Prof","A",44,44,"Male",103976,"Northwestern"
"Prof","A",27,21,"Male",124168,"Northwestern"
"Prof","A",15,9,"Male",113306,"Northwestern"
"Prof","A",29,27,"Male",138195,"Northwestern"
"Prof","A",29,15,"Male",108281,"Northwestern"
"Prof","A",38,36,"Male",118426,"Northwestern"
"Prof","A",33,18,"Male",184999,"Northwestern"
"Prof","A",40,19,"Male",165581,"Northwestern"
"Prof","A",30,19,"Male",150268,"Northwestern"
"Prof","A",33,30,"Male",102082,"Northwestern"
"Prof","A",31,19,"Male",149540,"Northwestern"
"Prof","A",42,25,"Male",100714,"Northwestern"
"Prof","A",25,15,"Male",94305,"Northwestern"
"AsstProf","A",8,4,"Male",80011,"Northwestern"
